id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,248820,218,61,813,477,780.0,123.75,1.0262172222137451,0.9574776887893677,0,0,1280,720
1,176283,0,456,1279,240,620.0,506.25,1.0163981914520264,0.9606414437294006,0,0,1280,720
2,2196,104,479,67,37,140.0,506.25,1.0036371946334839,0.9850948452949524,0,0,1280,720
3,3933,877,143,78,80,940.0,168.75,1.0022743940353394,0.9886105060577393,0,0,1280,720
4,79691,0,0,1279,75,460.0,11.25,1.0018589496612549,0.9667536020278931,0,0,1280,720
5,2597,1020,457,91,34,1100.0,483.75,0.9996167421340942,0.987758219242096,0,0,1280,720
6,1893,1225,527,54,37,1260.0,551.25,0.9986468553543091,0.986351728439331,0,0,1280,720
7,2865,1243,65,36,83,1260.0,146.25,0.9980064630508423,0.9785911440849304,0,0,1280,720
8,3855,624,107,76,79,660.0,146.25,0.9960272312164307,0.9850515723228455,0,0,1280,720
9,6416,1033,76,95,69,1060.0,123.75,0.9959741234779358,0.9837737679481506,0,0,1280,720
10,1942,1146,667,46,52,1180.0,686.25,0.98929762840271,0.9877049326896667,0,0,1280,720
11,3655,0,516,102,44,20.0,528.75,0.9879176020622253,0.9896570444107056,0,0,1280,720
12,1096,0,0,28,37,20.0,11.25,0.9855989813804626,0.9891008138656616,0,0,1280,720
13,3256,348,652,71,67,380.0,663.75,0.9834012985229492,0.979616641998291,0,0,1280,720
14,1234,791,195,42,46,820.0,213.75,0.9827293157577515,0.9887005686759949,0,0,1280,720
15,20562,1225,72,54,491,1260.0,258.75,0.9793834686279297,0.9543316960334778,0,0,1280,720
16,2241,551,661,59,58,580.0,708.75,0.9790563583374023,0.9810238480567932,0,0,1280,720
17,3489,1115,493,108,35,1180.0,506.25,0.9784032702445984,0.9857549667358398,0,0,1280,720
18,1099,268,145,45,31,300.0,168.75,0.978108286857605,0.9783197641372681,0,0,1280,720
19,17787,173,56,43,422,180.0,191.25,0.9775499701499939,0.976047933101654,0,0,1280,720
20,6876,105,382,67,132,140.0,416.25,0.9771571755409241,0.9569602012634277,0,0,1280,720
21,1343,268,145,45,48,300.0,168.75,0.9763550758361816,0.987407386302948,0,0,1280,720
22,3797,374,173,77,78,380.0,191.25,0.9759925603866577,0.9714359641075134,0,0,1280,720
23,1675,672,664,36,55,700.0,686.25,0.975398063659668,0.9857482314109802,0,0,1280,720
24,126721,615,71,415,394,700.0,78.75,0.9751079678535461,0.9612589478492737,0,0,1280,720
25,4078,0,260,104,39,60.0,281.25,0.9745990037918091,0.969271719455719,0,0,1280,720
26,1965,886,663,47,56,900.0,686.25,0.9739775657653809,0.9853387475013733,0,0,1280,720
27,38654,1020,76,108,415,1060.0,123.75,0.9736591577529907,0.9830560684204102,0,0,1280,720
28,1273,533,123,41,46,540.0,146.25,0.9723501205444336,0.9828125238418579,0,0,1280,720
29,11293,0,300,103,111,60.0,393.75,0.9718713164329529,0.9826767444610596,0,0,1280,720
30,5076,1215,628,64,90,1220.0,686.25,0.9705095291137695,0.9847626686096191,0,0,1280,720
31,1066,791,195,42,32,820.0,213.75,0.969312310218811,0.982309103012085,0,0,1280,720
32,2048,1056,662,52,57,1100.0,686.25,0.968090295791626,0.9749276638031006,0,0,1280,720
33,1147,672,664,36,38,700.0,686.25,0.9673832058906555,0.9801552891731262,0,0,1280,720
34,2538,756,656,72,63,780.0,708.75,0.9670470952987671,0.9797033667564392,0,0,1280,720
35,673,1161,15,42,19,1180.0,33.75,0.9666959047317505,0.9620991349220276,0,0,1280,720
36,1417,38,0,39,39,60.0,11.25,0.9658926129341125,0.9831578731536865,0,0,1280,720
37,2833,0,0,76,39,60.0,11.25,0.9654836654663086,0.9877278804779053,0,0,1280,720
38,1043,978,660,32,37,980.0,686.25,0.9653794169425964,0.9772079586982727,0,0,1280,720
39,2408,1241,0,38,63,1260.0,33.75,0.9653213620185852,0.9747351408004761,0,0,1280,720
40,1409,843,680,49,39,860.0,708.75,0.9650354385375977,0.9809725284576416,0,0,1280,720
41,9088,216,391,98,185,260.0,438.75,0.9646470546722412,0.9587017297744751,0,0,1280,720
42,1225,173,446,41,32,180.0,461.25,0.9636857509613037,0.9797734618186951,0,0,1280,720
